jail, holiday, vase, cherries, exchange, frogs, waves, girl, cent, bomb, houses, garden, grain, mother, push, fire
1, 408795, +, 434245036335768, 1, 0, 0, 0, 492, dirt, 4, -82.023407, -2.069996, 1, -0.000466, d061
0, -396, O, 48471840, 0, 1, 0, 1, 7, , 61, -1.464629, -0.000000, 1, -0.031764, ffffffff96ab8014
1, -327045511, S, 32157, 1, 1, 0, 1, 53, event, -2, -0.667463, 0.022666, 0, -0.000065, ffffffde38891e8b
1, -845, j, 0, 1, 0, 1, 0, 4, plate, -22, -0.000040, -0.007800, 0, -0.000273, ffffffffffffbbc2
0, -248, $, 12768332425141531, 0, 0, 1, 0, 1630, wing, -56, -0.000588, -0.023730, 0, -0.010967, ffff7db0bc154730
1, -4678, l, 34145116649, 1, 0, 1, 1, 45, turn, 52, 0.001440, 0.013916, 1, -0.003027, ffffffffffffedbf
1, 520, 6, 396069711383665, 0, 0, 0, 1, 224, bike, -10, -0.000053, -5.005587, 0, 11.979203, 45a5796c99
1, 123, N, 260, 1, 0, 1, 1, 3, , 17, -0.000004, -0.001697, 0, 27.015913, e23a3
0, -4635205, +, 1714250892237699, 0, 0, 0, 1, 4407, mailbox, 9, 0.000505, -0.000000, 0, -0.020363, 7b695e20f
0, 23, t, 121540, 1, 0, 0, 1, 0, hydrant, -4, 119.994316, 0.000018, 0, -0.002773, ffffffffffae594e
0, 0, :, 31110, 1, 0, 0, 1, 0, glass, -33, -0.083976, -0.000000, 0, -1.791147, 68
1, 911259653, [, 11110936, 0, 0, 1, 1, 88, babies, 39, 0.000000, 0.000015, 1, -0.000135, 524
0, 11611841, C, 519357, 0, 0, 1, 1, 442, beds, -12, 0.000018, -0.138886, 1, 0.001601, ffffffffd898eab9
0, -161546, I, 628936967, 1, 1, 0, 1, 6, idea, -4, -0.000013, 0.000149, 1, 0.007089, fc571646036add5a
1, 93711, B, 15, 0, 0, 0, 1, 61091, steel, -2, 0.000014, 0.000003, 1, 0.003708, fffff588e1ff70f0
1, 319641, k, 27, 0, 0, 0, 1, 10461, books, -6, 0.002739, -0.000000, 1, 0.000090, f7b853ad9d8d78b4
1, -15352, q, 1513204917, 1, 0, 1, 1, 0, butter, -3, 0.000106, 0.000313, 1, 0.000039, 2c31a2f31bf2a
0, -1900791, C, 2650343703157, 0, 1, 0, 0, 19, brush, 123, -0.000000, -0.000000, 0, 0.000000, fffffffe6d57aa0e
0, 604759, >, 2537034245631030790, 0, 0, 0, 0, 11, screw, -1, -4.068964, -11.103021, 0, -2.315254, ffffffffffe4219f
0, 308, {, 7523741799089822488, 0, 0, 1, 1, 182, class, -2, 0.000187, 0.232557, 1, -0.029668, ffffc4498392496c
0, -41762, 3, 0, 0, 1, 0, 1, 1795, leather, 0, 0.348893, 0.000001, 0, 1.200657, fffff38ed4e6469d
0, -5, 6, 1077433181, 0, 0, 0, 1, 2985, jar, 31, -4.117510, -0.001162, 1, 0.012180, 196b5d3f0a1
1, 4980, ., 50655, 0, 0, 0, 1, 24, kittens, 14, -1.459247, -21.915378, 0, 0.232402, 5d95
